site,tree_id,date,species,tag_id,dbh,notes,latitude,longitude,cover_MP,dead_main_MP,dead_fine_MP,no_symptoms_MP,striped_MP,striped_solid_MP,no_symptoms_canopy_position,striped_pattern_canopy_position,striped_or_solid_canopy_position,insect_damage_foliar,insect_damage_bark,necrosis_or_chlorosis_tissue,necrosis_or_chlorosis_tissue_other,bud_suspension,fruiting,leaf_clusters
ABW,101,5/19/2020,FAGGRA,501,25.8,,41.56099782,-81.42575696,0.625,0.035,0.375,0.175,0.175,0.625,7,7,2,yes,yes,N,,yes,yes,no
ABW,102,5/19/2020,FAGGRA,502,82.1,1 core,41.56114439,-81.42537877,0.85,0,0.075,0.625,0.375,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,103,5/19/2020,FAGGRA,503,24.5,,41.56051715,-81.42533887,0.85,0.015,0.075,0.625,0.175,0.075,7,7,2,yes,yes,N,,yes,no,no
ABW,104,5/19/2020,FAGGRA,504,22.2,,41.56118965,-81.42423615,0.375,0,0.625,0.175,0.175,0.625,7,7,7,yes,yes,C,,yes,no,no
ABW,105,5/19/2020,FAGGRA,505,24.3,,41.5611656,-81.42393541,0.375,0.175,0.375,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,106,5/19/2020,FAGGRA,506,38.3,,41.56116568,-81.42296378,0.85,0,0.035,0.85,0.075,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,107,5/20/2020,FAGGRA,507,24.7,,41.56114846,-81.42272003,0.85,0.035,0.175,0.85,0.175,0.075,7,7,1,yes,yes,N,,yes,no,no
ABW,108,5/20/2020,FAGGRA,508,21.8,,41.56075208,-81.42737458,0.375,0.035,0.625,0.625,0.175,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,109,5/20/2020,FAGGRA,509,21,,41.56346144,-81.42551481,0.375,0.85,0.175,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,110,5/21/2020,FAGGRA,510,28.4,,41.5646803,-81.42754147,0.375,0,0.625,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,111,5/21/2020,FAGGRA,511,20.7,,41.56471831,-81.4275449,0.375,0,0.625,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,112,5/21/2020,FAGGRA,512,28,,41.56409239,-81.42535681,0.625,0,0.375,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,113,5/26/2020,FAGGRA,513,38.2,,41.56371705,-81.4232558,0.85,0,0.075,0.85,0.075,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,114,5/26/2020,FAGGRA,514,46.5,,41.56368151,-81.42534667,0.625,0,0.375,0.075,0.375,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,115,5/26/2020,FAGGRA,515,23.1,,41.56364362,-81.4252999,0.175,0,0.85,0.375,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,116,5/26/2020,FAGGRA,516,85,,41.56329317,-81.4243944,0.625,0.075,0.375,0.075,0.375,0.625,7,7,7,yes,yes,N,,yes,yes,no
ABW,117,5/26/2020,FAGGRA,517,78.5,,41.56366101,-81.42320869,0.85,0,0.175,0.625,0.175,0.175,7,7,2,yes,yes,N,,yes,no,no
ABW,118,5/26/2020,FAGGRA,518,22.3,,41.56282806,-81.42865903,0.85,0.075,0.175,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,119,5/26/2020,FAGGRA,519,68.7,1 core,41.56289298,-81.42758564,0.85,0.075,0.075,0.175,0.375,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,120,5/26/2020,FAGGRA,520,55.6,1 core,41.56282614,-81.42550056,0.625,0.035,0.375,0.625,0.375,0.035,7,7,7,yes,yes,N,,yes,no,no
ABW,121,5/26/2020,FAGGRA,521,50.2,,41.56291871,-81.42267963,0.975,0,0.075,0.85,0.075,0.035,7,2,1,yes,yes,N,,yes,no,no
ABW,122,5/26/2020,FAGGRA,522,53,,41.56242452,-81.423807,0.375,0.375,0.375,0.175,0.625,0.375,7,7,7,yes,yes,N,,yes,no,no
ABW,123,5/27/2020,FAGGRA,523,41.9,,41.56228106,-81.42551883,0.85,0.035,0.175,0.175,0.625,0.175,7,7,7,yes,yes,N,,yes,no,no
ABW,124,5/27/2020,FAGGRA,524,50.3,,41.56244664,-81.42706068,0.85,0,0.075,0.625,0.375,0.175,7,7,2,yes,yes,N,,yes,no,no
ABW,125,5/27/2020,FAGGRA,525,33,,41.5624018,-81.42746352,0.85,0,0.175,0.625,0.375,0.035,7,7,1,yes,yes,N,,yes,no,no
ABW,126,5/27/2020,FAGGRA,526,29.5,,41.56199901,-81.42930443,0.625,0,0.375,0.175,0.175,0.625,7,7,7,yes,yes,N,,yes,no,no
ABW,127,5/27/2020,FAGGRA,527,40.5,,41.56209663,-81.424383,0.85,0,0.175,0.175,0.075,0.85,7,7,7,yes,yes,N,,yes,no,no
ABW,128,5/27/2020,FAGGRA,528,37.1,,41.5616256,-81.42479095,0.85,0,0.075,0.625,0.375,0.075,7,7,7,yes,yes,N,,yes,no,no
ABW,129,5/27/2020,FAGGRA,529,44,,41.56175325,-81.42490259,0.625,0.035,0.375,0.175,0.375,0.375,7,7,7,yes,yes,"N,C",,yes,no,no
