plot_type,plot_id,site,tree_id,date,species,tag_id,dbh,notes,latitude,longitude,dbh_cm,leaf_cover,dead_branches_main,dead_branches_fine,no_symptoms_cover_class,no_symptoms_canopy_position,striped_pattern_cover_class,striped_pattern_canopy_position,insect_damage_foliar,insect_damage_bark,necrosis_or_chlorosis_tissue,necrosis_or_chlorosis_tissue_other,bud_suspension,fruiting,leaf_clusters,leaf_cluster_count,late_leaf_flush_cover_class,late_leaf_flush_canopy_position,scale_abundance,neonectria_abundance,created_at,striped_or_solid_cover_class,striped_or_solid_canopy_position
Tr,5,ABW,102,5/19/2020,FAGGRA,502,82.1,1 core,41.55844169,-81.42710351,3.6,7,2,3,7,7,3,7,yes,no,N,,yes,no,no,,,,,,29:55.0,0,NA
New,1,ABW,137,6/1/2020,FAGGRA,537,39.2,,41.56045347,-81.4292435,39.2,6,4,4,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,58:13.0,3,2
New,1,ABW,138,6/1/2020,FAGGRA,538,24,,41.56045946,-81.42934165,24.1,7,3,3,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,15:54.0,4,7
Pl,1,ABW,108,5/20/2020,FAGGRA,508,21.8,,41.56075208,-81.42737458,21.8,5,2,6,6,7,4,7,yes,yes,N,,yes,no,no,,,,,,48:09.0,3,7
Exp,135,ABW,180,6/7/2020,FAGGRA,580,30.2,,41.56081678,-81.42767298,30.2,5,4,5,4,7,5,7,yes,yes,N,,yes,no,no,,,,,,07:06.0,6,7
Exp,134,ABW,186,6/8/2020,FAGGRA,586,30.2,,41.56077881,-81.4272362,30.2,6,0,5,4,7,6,7,yes,yes,N,,yes,no,no,,,,,,16:21.0,4,7
Exp,134,ABW,189,6/8/2020,FAGGRA,589,20.4,,41.56091875,-81.4271191,19.3,7,0,4,5,7,6,7,yes,yes,N,,yes,no,no,,,,,,22:13.0,2,1
Exp,134,ABW,188,6/8/2020,FAGGRA,588,20,,41.56101133,-81.42729387,20.4,6,4,4,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,35:38.0,3,2
Exp,134,ABW,187,6/8/2020,FAGGRA,587,59.5,,41.56092969,-81.42730057,58,7,0,3,7,7,4,7,yes,yes,N,,yes,no,no,,,,,,55:51.0,2,1
New,144,ABW,141,6/1/2020,FAGGRA,541,21.5,,41.56039635,-81.42700871,21.5,4,0,7,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,11:50.0,5,7
New,142,ABW,142,6/1/2020,FAGGRA,542,77,1 core,41.56040167,-81.42613742,75.9,7,0,2,7,7,4,7,yes,yes,N,,yes,no,no,,,,,,22:30.0,3,7
New,131,ABW,144,6/1/2020,FAGGRA,544,23.2,,41.5607908,-81.42530241,22.9,5,0,6,4,7,6,7,yes,yes,N,,yes,no,no,,,,,,37:17.0,3,7
New,130,ABW,145,6/1/2020,FAGGRA,545,20.3,,41.56084998,-81.42471995,19.6,5,2,6,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,52:24.0,4,7
New,127,ABW,133,5/27/2020,FAGGRA,533,32.1,,41.56075446,-81.42336083,42,7,0,2,7,7,4,7,yes,yes,N,,yes,no,no,,,,,,12:31.0,2,7
New,126,ABW,132,5/27/2020,FAGGRA,532,43.7,,41.56077684,-81.42277895,43.6,6,0,5,4,7,5,7,yes,yes,N,,yes,no,no,,,,,,24:29.0,5,7
Exp,126,ABW,199,6/8/2020,FAGGRA,599,26.3,,41.56082347,-81.42256513,26.2,5,4,5,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,32:41.0,4,7
Exp,126,ABW,200,6/8/2020,FAGGRA,600,20.9,,41.56088774,-81.42265222,20.8,5,0,6,4,7,5,7,yes,yes,N,,yes,no,no,,,,,,39:04.0,5,7
Tr,30,ABW,106,5/19/2020,FAGGRA,506,38.3,,41.56116568,-81.42296378,37.2,7,0,2,7,7,3,7,yes,yes,N,,yes,no,no,,,,,,46:01.0,2,1
New,111,ABW,146,6/1/2020,FAGGRA,546,29.5,,41.56116195,-81.42265247,29.2,7,0,3,7,7,3,2,yes,yes,N,,yes,no,no,,,,,,55:15.0,3,2
Tr,34,ABW,107,5/20/2020,FAGGRA,507,24.7,,41.56114846,-81.42272003,24.9,7,2,4,7,7,4,7,yes,yes,N,,yes,no,no,,,,,,59:05.0,3,1
New,123,ABW,134,6/1/2020,FAGGRA,534,20.5,,41.56118949,-81.42928038,20.5,5,3,6,4,5,4,7,no,yes,N,,yes,no,no,,,,,,33:34.0,6,7
New,108,ABW,135,6/1/2020,FAGGRA,535,26,1 core,41.56152204,-81.42935037,25.6,6,0,5,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,41:55.0,5,7
New,108,ABW,136,6/1/2020,FAGGRA,536,27,,41.56156898,-81.42926831,26.6,6,0,5,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,49:34.0,5,7
Exp,108,ABW,182,6/8/2020,FAGGRA,582,46.6,,41.56156994,-81.42938088,46.5,7,0,4,6,7,4,7,yes,yes,N,,yes,yes,no,,,,,,59:41.0,4,2
Exp,108,ABW,183,6/8/2020,FAGGRA,583,31.1,1 core,41.56157639,-81.42951516,31.1,6,4,4,5,7,5,7,yes,yes,"N,C",,yes,no,no,,,,,,08:12.0,5,7
Exp,108,ABW,184,6/8/2020,FAGGRA,584,32.6,1 core,41.56160921,-81.4295144,32.9,6,2,5,4,7,5,7,yes,yes,"N,C",,yes,no,no,,,,,,15:54.0,5,7
Exp,108,ABW,185,6/8/2020,FAGGRA,585,43.9,1 core,41.56184118,-81.42915566,43.1,7,0,4,6,7,4,7,yes,yes,N,,yes,no,no,,,,,,27:52.0,3,1
New,107,ABW,139,6/1/2020,FAGGRA,539,22.8,,41.56155959,-81.42877671,22.9,5,0,6,6,7,3,7,yes,yes,N,,yes,no,no,,,,,,39:29.0,5,7
New,105,ABW,140,6/1/2020,FAGGRA,540,39.6,,41.56162299,-81.42759293,39.5,7,0,4,5,7,5,7,yes,yes,N,,yes,no,no,,,,,,52:38.0,4,2
Exp,105,ABW,181,6/7/2020,FAGGRA,581,20,,41.56173161,-81.42763987,19,6,2,5,4,7,4,7,yes,yes,N,,yes,no,no,,,,,,03:43.0,6,7
New,102,ABW,143,6/1/2020,FAGGRA,543,23,,41.56160648,-81.42602761,23.1,7,0,4,6,7,4,7,yes,yes,N,,yes,no,no,,,,,,16:38.0,3,2
Tr,1,ABW,101,5/19/2020,FAGGRA,501,25.8,,41.56099782,-81.42575696,25.7,6,2,5,4,7,4,7,yes,yes,N,,yes,yes,no,,,,,,37:28.0,6,2
Tr,5,ABW,102,5/19/2020,FAGGRA,502,82.1,1 core,41.56114439,-81.42537877,81.1,7,0,3,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,44:13.0,2,1
Tr,7,ABW,103,5/19/2020,FAGGRA,503,24.5,,41.56051715,-81.42533887,24.6,7,1,3,6,7,4,7,yes,yes,N,,yes,no,no,,,,,,58:36.0,3,2
Tr,17,ABW,104,5/19/2020,FAGGRA,504,22.2,,41.56118965,-81.42423615,22.1,5,0,6,4,7,4,7,yes,yes,C,,yes,no,no,,,,,,08:21.0,6,7
Tr,21,ABW,105,5/19/2020,FAGGRA,505,24.3,,41.5611656,-81.42393541,24,5,4,5,4,7,4,7,yes,yes,N,,yes,no,no,,,,,,17:22.0,6,7
Exp,116,ABW,177,6/7/2020,FAGGRA,577,26.1,,41.56120105,-81.425419,26,6,0,5,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,39:56.0,4,2
Exp,116,ABW,178,6/7/2020,FAGGRA,578,23.9,,41.56122938,-81.42547659,23.7,6,0,5,6,7,4,7,yes,yes,N,,yes,no,no,,,,,,46:47.0,4,7
Exp,116,ABW,179,6/7/2020,FAGGRA,579,30,,41.56118848,-81.42550953,29.8,7,2,4,4,7,6,7,yes,yes,N,,yes,no,no,,,,,,58:32.0,4,7
Exp,115,ABW,198,6/8/2020,FAGGRA,598,22.3,,41.561243,-81.42509085,22,7,1,3,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,11:13.0,3,7
Exp,115,ABW,197,6/8/2020,FAGGRA,597,22.4,,41.56122113,-81.42492514,22,6,0,5,4,7,4,7,yes,yes,N,,yes,no,no,,,,,,19:15.0,6,7
Exp,100,ABW,191,6/8/2020,FAGGRA,591,20,,41.56161546,-81.42497007,19.9,7,1,4,3,7,3,7,yes,yes,N,,yes,no,no,,,,,,29:06.0,7,7
Exp,100,ABW,192,6/8/2020,FAGGRA,592,21.5,,41.56153897,-81.42495724,21.2,6,0,5,3,7,3,7,yes,yes,N,,yes,no,no,,,,,,34:14.0,7,7
Exp,100,ABW,193,6/8/2020,FAGGRA,593,22.2,,41.56161446,-81.42484535,22,7,0,4,4,7,4,7,yes,yes,N,,yes,no,no,,,,,,43:30.0,6,7
New,100,ABW,128,5/27/2020,FAGGRA,528,37.1,,41.5616256,-81.42479095,37,7,0,3,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,57:19.0,3,7
New,100,ABW,129,5/27/2020,FAGGRA,529,44,,41.56175325,-81.42490259,43.8,6,2,5,4,7,5,7,yes,yes,"N,C",,yes,no,no,,,,,,00:12.0,5,7
New,98,ABW,130,5/27/2020,FAGGRA,530,22,,41.56167559,-81.42380398,22.3,7,0,3,6,7,5,7,yes,yes,N,,yes,no,no,,,,,,12:12.0,2,2
